patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
44,0.7900218205018477,11,0.11,0.08690240025520324,NA,NA
45,0.7390334606170654,1,0.01,0.007390334606170655,NA,NA
46,0.7316787242889404,1,0.01,0.007316787242889405,NA,NA
47,0.735916793346405,1,0.01,0.007359167933464051,NA,NA
48,0.839624673128128,38,0.38,0.31905737578868865,NA,NA
49,0.8644522858990563,72,0.72,0.6224056458473205,NA,NA
50,0.8251286109021846,149,1.49,1.229441630244255,9,0.01281450600121052
51,0.7712883750597636,3,0.03,0.023138651251792906,NA,NA
52,0.7820452749729156,8,0.08,0.06256362199783325,NA,NA
53,0.7844477849347251,28,0.28,0.21964537978172305,0,2.5147512353493724e-4
54,0.8087536096572876,31,0.31,0.25071361899375916,NA,NA
55,0.785726914803187,18,0.18,0.14143084466457365,NA,NA
56,0.7609685063362122,1,0.01,0.007609685063362122,0,2.40886128684688e-4
57,0.7390091419219971,1,0.01,0.007390091419219971,NA,NA
58,0.7630435526371002,2,0.02,0.015260871052742004,NA,NA
59,0.8059739172458649,14,0.14,0.1128363484144211,NA,NA
60,0.7484397888183594,1,0.01,0.007484397888183594,NA,NA
61,0.7980233033498129,3,0.03,0.023940699100494386,NA,NA
62,0.785336434841156,3,0.03,0.023560093045234678,0,3.977028282368487e-4
63,0.7537133991718292,4,0.04,0.03014853596687317,NA,NA
64,0.7849971055984497,1,0.01,0.007849971055984497,NA,NA
65,0.7392916083335876,1,0.01,0.007392916083335877,NA,NA
66,0.7604313492774963,1,0.01,0.007604313492774964,NA,NA
67,0.7719900831580162,8,0.08,0.0617592066526413,0,2.5147512353493724e-4
68,0.7398838698863983,2,0.02,0.014797677397727967,0,8.070639725754685e-4
69,0.8229648873612687,37,0.37,0.30449700832366944,0,0.00535734172307621
70,0.7708614269892374,3,0.03,0.02312584280967712,NA,NA
71,0.7919054214770977,13,0.13,0.10294770479202271,NA,NA
72,0.8538912330423633,248,2.48,2.1176502579450607,162,0.2950630405096731
73,0.7368798851966858,1,0.01,0.007368798851966858,NA,NA
74,0.843924761864177,57,0.5700000000000001,0.48103711426258094,NA,NA
75,0.8007591064159687,65,0.65,0.5204934191703797,0,9.96370124145072e-5
76,0.7410441040992737,1,0.01,0.007410441040992737,NA,NA
77,0.8145399101575216,75,0.75,0.6109049326181412,11,0.016357495021346685
78,0.7795601238807043,12,0.12,0.09354721486568451,0,0.004349819636406081
79,0.7839651703834534,4,0.04,0.031358606815338134,NA,NA
80,0.7664865255355835,5,0.05,0.038324326276779175,NA,NA
81,0.7673830687999725,2,0.02,0.01534766137599945,NA,NA
82,0.7506173253059387,1,0.01,0.007506173253059387,NA,NA
83,0.7985561192035675,2,0.02,0.015971122384071352,NA,NA
84,0.739790141582489,1,0.01,0.00739790141582489,NA,NA
85,0.7927885293960572,5,0.05,0.03963942646980286,NA,NA
86,0.7529026865959167,1,0.01,0.0075290268659591675,0,1.327626947530605e-4
87,0.8410682593073163,7,0.07,0.058874778151512146,5,0.0012058544815518758
88,0.7756168501717704,7,0.07,0.054293179512023934,NA,NA
89,0.7511999607086182,3,0.03,0.022535998821258545,NA,NA
90,0.7440175414085388,1,0.01,0.007440175414085389,NA,NA
91,0.8170539863904317,75,0.75,0.6127904897928238,NA,NA
92,0.7435307502746582,1,0.01,0.007435307502746583,0,9.96370124145072e-5
93,0.8025007247924805,4,0.04,0.03210002899169922,NA,NA
94,0.7570853233337402,1,0.01,0.007570853233337402,NA,NA
95,0.7370607256889343,1,0.01,0.0073706072568893435,NA,NA
96,0.7692089378833771,4,0.04,0.030768357515335083,0,7.024449765379938e-4
97,0.7972554649625506,7,0.07,0.05580788254737855,NA,NA
98,0.7921113702985976,9,0.09,0.07129002332687377,NA,NA
99,0.7562953233718872,1,0.01,0.007562953233718872,NA,NA
100,0.7321634888648987,1,0.01,0.007321634888648987,NA,NA
101,0.804744447386542,86,0.86,0.6920802247524261,0,0.001240203547849762
102,0.7361395359039307,1,0.01,0.007361395359039307,NA,NA
103,0.7531046271324158,1,0.01,0.007531046271324158,NA,NA
104,0.7351734042167664,1,0.01,0.007351734042167664,NA,NA
105,0.7865640238711709,19,0.19,0.14944716453552245,NA,NA
106,0.7810125606400626,7,0.07,0.05467087924480439,NA,NA
107,0.7627518773078918,4,0.04,0.030510075092315674,NA,NA
108,0.7945882397539475,17,0.17,0.1350800007581711,NA,NA
109,0.7956062762633614,23,0.23,0.18298944354057314,NA,NA
110,0.7629975080490112,1,0.01,0.007629975080490113,NA,NA
111,0.7787774205207825,1,0.01,0.007787774205207825,NA,NA
112,0.7600095669428507,3,0.03,0.02280028700828552,NA,NA
113,0.8233297991341558,58,0.58,0.4775312834978103,NA,NA
114,0.8273462586932712,9,0.09,0.0744611632823944,0,0.001240203547849762
115,0.8023339245054457,18,0.18,0.14442010641098021,0,1.8880479676711067e-4
116,0.8194952337830155,135,1.35,1.1063185656070709,0,0.0054628585975618656
117,0.7400184273719788,1,0.01,0.007400184273719788,NA,NA
118,0.7925595243771871,6,0.06,0.04755357146263123,NA,NA
119,0.7662919163703918,4,0.04,0.030651676654815673,NA,NA
120,0.8639198578420871,551,5.51,4.7601984167099,394,0.6761671213191944
121,0.8087949307568102,83,0.8300000000000001,0.6712997925281525,NA,NA
122,0.7764419657843453,7,0.07,0.05435093760490418,0,1.8880479676711067e-4
123,0.7923262251747979,9,0.09,0.07130936026573181,58,0.006071376304790027
124,0.7812210023403168,4,0.04,0.031248840093612673,NA,NA
125,0.8041503667831421,5,0.05,0.04020751833915711,NA,NA
126,0.8028204724902198,21,0.21,0.16859229922294616,0,6.450247914895008e-4
127,0.8110822637875875,6,0.06,0.04866493582725525,0,5.621755879525087e-4
128,0.741205096244812,3,0.03,0.02223615288734436,NA,NA
129,0.8265539144360742,129,1.29,1.0662545496225357,NA,NA
130,0.7390838861465454,1,0.01,0.007390838861465454,NA,NA
131,0.7599997123082479,3,0.03,0.022799991369247437,30,0.0013670654922163146
132,0.8138611614704132,16,0.16,0.1302177858352661,NA,NA
133,0.7605864405632019,1,0.01,0.007605864405632019,0,3.1165169426736997e-4
134,0.7555806040763855,2,0.02,0.01511161208152771,3,2.1531536203389396e-4
135,0.7896920496767218,11,0.11,0.08686612546443939,0,0.0054628585975618656
136,0.7887818038463592,10,0.1,0.07887818038463593,3,6.463400643699737e-4
137,0.7470622658729553,1,0.01,0.007470622658729553,31,1.3584923114400073e-4
138,0.7420817613601685,1,0.01,0.007420817613601685,NA,NA
139,0.7943813999493917,3,0.03,0.02383144199848175,NA,NA
140,0.8086421191692352,12,0.12,0.09703705430030822,4,7.060337505881728e-4
141,0.7434861361980438,2,0.02,0.014869722723960878,NA,NA
142,0.8218085467815399,6,0.06,0.04930851280689239,NA,NA
143,0.7785236835479736,7,0.07,0.05449665784835816,NA,NA
144,0.7638809510639736,7,0.07,0.053471666574478154,0,3.5877696247440773e-4
145,0.7735599524834577,17,0.17,0.13150519192218782,NA,NA
146,0.8044388890266418,1,0.01,0.00804438889026642,NA,NA
147,0.7658175826072693,9,0.09,0.06892358243465423,NA,NA
148,0.8123833591287787,11,0.11,0.08936216950416566,3,4.4494341662871205e-4
149,0.7786163687705994,2,0.02,0.015572327375411988,57,8.43816042678728e-4
150,0.7926107461635883,13,0.13,0.10303939700126648,NA,NA
151,0.7721408009529114,1,0.01,0.0077214080095291135,NA,NA
152,0.750724732875824,2,0.02,0.01501449465751648,NA,NA
153,0.8114674290021261,12,0.12,0.09737609148025513,81,0.012085756545315738
154,0.7778080701828003,1,0.01,0.007778080701828003,NA,NA
155,0.8035874196461269,28,0.28,0.22500447750091554,58,0.010560401764024209
156,0.7453819811344147,2,0.02,0.014907639622688294,0,8.951379441728465e-5
157,0.7566693425178528,1,0.01,0.007566693425178528,NA,NA
158,0.7467236518859863,1,0.01,0.007467236518859863,0,4.3566203134928464e-5
159,0.7337621450424194,1,0.01,0.007337621450424194,81,6.811287094047673e-4
160,0.7613696455955505,1,0.01,0.007613696455955506,NA,NA
161,0.8166186809539795,1,0.01,0.008166186809539795,NA,NA
