patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
41,0.8362517294130827,38,0.38,0.3177756571769714,NA,NA
42,0.8269337546407131,114,1.1400000000000001,0.942704480290413,0,0.0017355043642417877
43,0.8017504056294759,15,0.15,0.12026256084442137,NA,NA
44,0.7974235773086548,5,0.05,0.03987117886543274,NA,NA
45,0.7444274425506592,1,0.01,0.007444274425506592,NA,NA
46,0.7640915513038635,1,0.01,0.007640915513038636,NA,NA
47,0.8225040838525102,37,0.37,0.30432651102542874,NA,NA
48,0.7922603189945221,6,0.06,0.047535619139671324,NA,NA
49,0.81365105509758,20,0.2,0.162730211019516,NA,NA
50,0.7455588579177856,1,0.01,0.007455588579177857,NA,NA
51,0.8396127255339372,19,0.19,0.15952641785144805,0,0.0020454613050982827
52,0.7625101208686829,2,0.02,0.015250202417373657,NA,NA
53,0.8045773843060369,23,0.23,0.1850527983903885,NA,NA
54,0.7542764544487,1,0.01,0.007542764544486999,NA,NA
55,0.7656171123186747,3,0.03,0.02296851336956024,NA,NA
56,0.7506982386112213,2,0.02,0.015013964772224426,NA,NA
57,0.7745404839515686,1,0.01,0.007745404839515686,NA,NA
58,0.797389805316925,1,0.01,0.00797389805316925,NA,NA
59,0.8179314136505127,1,0.01,0.008179314136505127,NA,NA
60,0.8356000057288578,14,0.14,0.1169840008020401,NA,NA
61,0.8379662036895752,13,0.13,0.10893560647964477,NA,NA
62,0.8143965601921082,8,0.08,0.06515172481536866,14,0.001084605768456767
63,0.8286862671375275,2,0.02,0.01657372534275055,NA,NA
64,0.7908807396888733,1,0.01,0.007908807396888732,NA,NA
65,0.8155507842699686,3,0.03,0.024466523528099058,NA,NA
66,0.7672747770945231,3,0.03,0.023018243312835692,NA,NA
67,0.7911920696496964,4,0.04,0.031647682785987855,NA,NA
68,0.8302996993064881,10,0.1,0.08302996993064882,NA,NA
69,0.7640328407287598,1,0.01,0.007640328407287598,NA,NA
70,0.8111648162206014,6,0.06,0.04866988897323608,NA,NA
71,0.7880865335464478,3,0.03,0.023642596006393433,26,4.5816720955359805e-4
72,0.7883327379822731,8,0.08,0.06306661903858185,NA,NA
73,0.8351299613714218,28,0.28,0.23383638918399813,0,0.010339228786475193
74,0.79236602783203125,2,0.02,0.015847320556640624,2,6.278964159183056e-4
75,0.7874508947134018,4,0.04,0.03149803578853607,NA,NA
76,0.7868799521372869,13,0.13,0.1022943937778473,NA,NA
77,0.7766965883118766,7,0.07,0.054368761181831364,NA,NA
78,0.7868837912877401,3,0.03,0.023606513738632203,2,8.824865831597995e-4
79,0.7861764430999756,3,0.03,0.023585293292999267,NA,NA
80,0.8228118121623993,12,0.12,0.09873741745948791,0,0.002162810858891069
81,0.8626029160287645,45,0.45,0.38817131221294404,NA,NA
82,0.7718398571014404,1,0.01,0.007718398571014405,0,2.789513994264546e-4
83,0.8206465115418305,37,0.37,0.3036392092704773,42,0.007042089514061409
84,0.7477051019668579,1,0.01,0.0074770510196685794,NA,NA
85,0.8267003762519965,59,0.59,0.48775322198867793,71,0.021858339805685977
86,0.7686980962753296,1,0.01,0.007686980962753296,NA,NA
87,0.768492579460144,4,0.04,0.030739703178405763,NA,NA
88,0.8325540622075399,3,0.03,0.024976621866226196,NA,NA
89,0.846636061484997,78,0.78,0.6603761279582977,29,0.022183548629846783
90,0.832322222845895,7,0.07,0.05826255559921265,NA,NA
91,0.8140043020248413,1,0.01,0.008140043020248414,0,2.149626082035116e-4
92,0.7749933004379272,1,0.01,0.007749933004379273,NA,NA
93,0.7665124535560608,4,0.04,0.03066049814224243,NA,NA
94,0.8171820441881815,9,0.09,0.07354638397693633,0,0.0016246376038026606
95,0.7864633083343506,5,0.05,0.039323165416717536,14,1.56396632087228e-4
96,0.8170818771634784,7,0.07,0.05719573140144349,NA,NA
97,0.8073809742927551,1,0.01,0.00807380974292755,NA,NA
98,0.7438896298408508,1,0.01,0.007438896298408508,NA,NA
99,0.7699902653694153,2,0.02,0.015399805307388307,0,7.372638461133752e-5
100,0.7637066543102264,2,0.02,0.015274133086204528,35,4.099350405620071e-4
101,0.7832324802875519,2,0.02,0.01566464960575104,NA,NA
102,0.8264755457639694,4,0.04,0.033059021830558775,NA,NA
103,0.8086467822392781,15,0.15,0.12129701733589171,29,0.002781298533483772
104,0.7865542010827498,11,0.11,0.08652096211910247,26,0.0020010523885216976
105,0.7940629323323568,3,0.03,0.023821887969970704,0,0.0013531581207310338
106,0.7521803975105286,1,0.01,0.007521803975105286,36,1.862929338620366e-4
107,0.7772759199142456,1,0.01,0.007772759199142457,44,2.0158351546209878e-4
108,0.8303484916687012,1,0.01,0.008303484916687013,NA,NA
109,0.763390302658081,1,0.01,0.0076339030265808105,NA,NA
110,0.8005834698677063,5,0.05,0.04002917349338532,0,9.510041575724136e-4
111,0.8318734587849798,37,0.37,0.3077931797504425,NA,NA
112,0.8257242952074323,7,0.07,0.05780070066452027,NA,NA
113,0.7770085334777832,6,0.06,0.046620512008666994,NA,NA
114,0.8349793255329132,2,0.02,0.016699586510658265,0,5.159838058911528e-6
115,0.7851561970180936,9,0.09,0.07066405773162841,27,0.001709853706389636
116,0.8521102885405223,60,0.6,0.5112661731243133,21,0.018140312325853693
117,0.8124237060546875,5,0.05,0.040621185302734376,24,0.002127311055210285
118,0.7595058679580688,1,0.01,0.007595058679580689,0,5.159838058911528e-6
119,0.858979717036274,107,1.07,0.9191082972288132,164,0.17188967343847153
120,0.8250090114531978,31,0.31,0.2557527935504913,NA,NA
121,0.7822434902191162,1,0.01,0.007822434902191162,0,1.988478730457844e-4
122,0.8173389051641736,14,0.14,0.11442744672298431,NA,NA
123,0.7631738185882568,1,0.01,0.007631738185882569,NA,NA
124,0.7931481599807739,24,0.24,0.19035555839538573,NA,NA
125,0.8284801244735718,6,0.06,0.04970880746841431,NA,NA
126,0.7986172437667847,1,0.01,0.007986172437667846,NA,NA
127,0.7784793972969055,4,0.04,0.03113917589187622,0,9.563834101151514e-4
128,0.7987041249871254,8,0.08,0.06389632999897003,0,0.0013467830592617746
129,0.7865858435630798,5,0.05,0.03932929217815399,NA,NA
130,0.8079889416694641,1,0.01,0.00807988941669464,NA,NA
131,0.8220116198062897,10,0.1,0.08220116198062898,NA,NA
132,0.7609633803367615,2,0.02,0.01521926760673523,NA,NA
133,0.7445935010910034,1,0.01,0.007445935010910034,NA,NA
134,0.8308068633079528,5,0.05,0.04154034316539765,9,0.0012124797264877986
135,0.8179028232892355,6,0.06,0.04907416939735413,16,0.0014848838346650593
136,0.7719341218471527,2,0.02,0.015438682436943055,0,2.9584007714802918e-5
137,0.7633264064788818,1,0.01,0.007633264064788818,NA,NA
138,0.8321117609739304,12,0.12,0.09985341131687164,16,0.002114139437496526
139,0.755630373954773,1,0.01,0.00755630373954773,12,1.7278474329340728e-5
140,0.8178861324603741,13,0.13,0.10632519721984864,0,0.001373489290201534
141,0.7984032183885574,8,0.08,0.06387225747108459,NA,NA
142,0.8645244836807251,2,0.02,0.017290489673614504,NA,NA
143,0.7923495918512344,4,0.04,0.03169398367404938,NA,NA
144,0.8203194737434387,3,0.03,0.02460958421230316,NA,NA
145,0.8350276513533159,11,0.11,0.09185304164886475,NA,NA
146,0.7940079867839813,2,0.02,0.015880159735679626,NA,NA
147,0.7587342460950216,3,0.03,0.022762027382850648,0,6.134302833860901e-4
148,0.8292478160424666,11,0.11,0.09121725976467132,30,0.006322400284982603
149,0.8331238865852356,5,0.05,0.041656194329261785,22,0.002895541079227242
