patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
41,0.6826528608798981,2,0.02,0.013653057217597962,NA,NA
42,0.7399191856384277,1,0.01,0.007399191856384277,NA,NA
43,0.8077409250395639,35,0.35000000000000003,0.2827093237638474,NA,NA
44,0.6767639219760895,2,0.02,0.01353527843952179,NA,NA
45,0.7559631665547689,3,0.03,0.022678894996643068,NA,NA
46,0.7973072883245107,37,0.37,0.2950036966800689,NA,NA
47,0.7142102718353271,1,0.01,0.007142102718353272,NA,NA
48,0.7200439274311066,2,0.02,0.014400878548622131,NA,NA
49,0.7316000759601593,2,0.02,0.014632001519203186,NA,NA
50,0.8583828934601375,14,0.14,0.12017360508441927,NA,NA
51,0.7096494555473327,5,0.05,0.03548247277736664,NA,NA
52,0.7188633680343628,1,0.01,0.0071886336803436285,NA,NA
53,0.766571751662663,7,0.07,0.053660022616386416,NA,NA
54,0.6871109902858734,2,0.02,0.013742219805717468,NA,NA
55,0.7362001538276672,1,0.01,0.007362001538276672,NA,NA
56,0.7290491163730621,2,0.02,0.014580982327461243,NA,NA
57,0.8040788173675537,1,0.01,0.008040788173675538,0,2.6727475807434394e-5
58,0.7979060507589771,31,0.31,0.24735087573528292,NA,NA
59,0.7852428555488586,1,0.01,0.007852428555488587,NA,NA
60,0.6970862299203873,4,0.04,0.027883449196815492,0,2.6727475807434394e-5
61,0.8048937576157706,28,0.28,0.2253702521324158,NA,NA
62,0.7831947604815165,3,0.03,0.023495842814445493,NA,NA
63,0.728679895401001,1,0.01,0.00728679895401001,NA,NA
64,0.856828773021698,30,0.3,0.2570486319065094,0,0.0025094804299542533
65,0.7033248543739319,1,0.01,0.007033248543739319,NA,NA
66,0.8602441430091858,10,0.1,0.08602441430091859,1,0.002791726978210585
67,0.7980526004518781,14,0.14,0.11172736406326295,NA,NA
68,0.6872677803039551,1,0.01,0.006872677803039551,NA,NA
69,0.6784310340881348,2,0.02,0.013568620681762695,NA,NA
70,0.7535043443952288,7,0.07,0.05274530410766602,NA,NA
71,0.7479666918516159,4,0.04,0.029918667674064637,0,2.81538056348708e-4
72,0.8826751708984375,17,0.17,0.1500547790527344,NA,NA
73,0.9025649353861809,8,0.08,0.07220519483089448,NA,NA
74,0.7013092041015625,1,0.01,0.007013092041015625,NA,NA
75,0.7692472537358602,9,0.09,0.06923225283622741,NA,NA
76,0.8530851707738989,17,0.17,0.14502447903156282,NA,NA
77,0.7612747550010681,1,0.01,0.0076127475500106815,NA,NA
78,0.8450517058372498,1,0.01,0.008450517058372497,NA,NA
79,0.6849859952926636,1,0.01,0.006849859952926636,NA,NA
80,0.7129590113957723,3,0.03,0.02138877034187317,NA,NA
81,0.8299911866585413,12,0.12,0.09959894239902496,0,4.883738698014071e-4
82,0.7556869586308798,6,0.06,0.045341217517852785,NA,NA
83,0.6890562176704407,1,0.01,0.0068905621767044066,NA,NA
84,0.8203442692756653,2,0.02,0.016406885385513305,NA,NA
85,0.7741371591885885,6,0.06,0.046448229551315307,1,6.253106103429795e-4
86,0.7160701155662537,1,0.01,0.007160701155662537,NA,NA
87,0.6824923753738403,1,0.01,0.006824923753738403,NA,NA
88,0.7084322273731232,2,0.02,0.014168644547462464,NA,NA
89,0.7361717224121094,1,0.01,0.0073617172241210935,NA,NA
90,0.86677485704422,9,0.09,0.0780097371339798,NA,NA
