patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
34,0.8160430308507414,98,0.98,0.7997221702337265,NA,NA
35,0.779267614086469,12,0.12,0.09351211369037628,NA,NA
36,0.789336002016642,83,0.8300000000000001,0.6551488816738129,NA,NA
37,0.8264206005667998,297,2.97,2.4544691836833956,2,0.09537677068051344
38,0.781671982545119,13,0.13,0.10161735773086548,NA,NA
39,0.7866272330284119,3,0.03,0.023598816990852357,0,0.0023746015348617873
40,0.7716367542743683,4,0.04,0.030865470170974733,NA,NA
41,0.7861248652140299,3,0.03,0.023583745956420897,NA,NA
42,0.7900936603546143,1,0.01,0.007900936603546143,0,7.911813269214056e-4
43,0.814682420094808,225,2.25,1.833035445213318,0,0.09239551146690896
44,0.7843545079231262,1,0.01,0.007843545079231263,NA,NA
45,0.8282315254211425,45,0.45,0.37270418643951414,1,0.021933668925353474
46,0.7953939437866211,4,0.04,0.03181575775146484,NA,NA
47,0.7638604938983917,2,0.02,0.015277209877967836,NA,NA
48,0.8171154372394085,16,0.16,0.13073846995830535,NA,NA
49,0.7631513476371765,1,0.01,0.007631513476371765,NA,NA
50,0.8096180260181427,6,0.06,0.04857708156108856,NA,NA
51,0.8078554232915243,60,0.6,0.48471325397491455,0,0.00907158782278774
52,0.8544160150922835,128,1.28,1.093652499318123,0,0.020937603208991303
53,0.8006404280662537,10,0.1,0.08006404280662538,NA,NA
54,0.8634781241416931,2,0.02,0.017269562482833862,NA,NA
55,0.7780317664146423,3,0.03,0.023340952992439268,NA,NA
56,0.8141490618387858,6,0.06,0.04884894371032714,NA,NA
57,0.7962760329246521,8,0.08,0.06370208263397217,NA,NA
58,0.7618022263050079,2,0.02,0.015236044526100159,NA,NA
59,0.8390218036515372,35,0.35000000000000003,0.29365763127803807,NA,NA
60,0.7601958513259888,1,0.01,0.0076019585132598875,NA,NA
61,0.8150664230187734,60,0.6,0.489039853811264,NA,NA
62,0.8133986592292786,2,0.02,0.01626797318458557,NA,NA
63,0.8016972162506797,11,0.11,0.08818669378757477,NA,NA
64,0.789475753903389,4,0.04,0.03157903015613556,NA,NA
65,0.7850158214569092,2,0.02,0.015700316429138182,NA,NA
66,0.7968242168426514,3,0.03,0.02390472650527954,NA,NA
67,0.8080015182495117,1,0.01,0.008080015182495117,NA,NA
68,0.8131465315818787,1,0.01,0.008131465315818787,NA,NA
69,0.8197547942399979,4,0.04,0.032790191769599915,NA,NA
70,0.8213525215784708,3,0.03,0.024640575647354123,NA,NA
71,0.7809405326843262,1,0.01,0.007809405326843262,NA,NA
72,0.7556761503219604,1,0.01,0.007556761503219604,NA,NA
73,0.7849762837092081,6,0.06,0.04709857702255248,NA,NA
74,0.8085442185401917,5,0.05,0.040427210927009585,NA,NA
75,0.8113143444061279,1,0.01,0.008113143444061279,NA,NA
76,0.8073217074076334,6,0.06,0.048439302444458,NA,NA
77,0.7861601710319519,1,0.01,0.00786160171031952,NA,NA
78,0.7639428377151489,1,0.01,0.007639428377151489,NA,NA
79,0.7610442638397217,1,0.01,0.007610442638397217,NA,NA
80,0.7865982254346212,21,0.21,0.16518562734127046,NA,NA
