patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
33,0.8050397580320184,22,0.22,0.17710874676704405,NA,NA
34,0.7698654532432556,5,0.05,0.038493272662162785,NA,NA
35,0.7766197919845581,1,0.01,0.0077661979198455815,NA,NA
36,0.7530792781284877,7,0.07,0.05271554946899415,NA,NA
37,0.8004879713058471,5,0.05,0.04002439856529236,NA,NA
38,0.772926427423954,24,0.24,0.18550234258174897,NA,NA
39,0.7490896582603455,1,0.01,0.0074908965826034546,NA,NA
40,0.7414709329605103,1,0.01,0.007414709329605103,NA,NA
41,0.8295977115631104,4,0.04,0.03318390846252441,NA,NA
42,0.726701021194458,1,0.01,0.00726701021194458,NA,NA
43,0.8036870739676736,11,0.11,0.08840557813644409,NA,NA
44,0.7668824195861816,2,0.02,0.015337648391723633,NA,NA
45,0.8087019920349121,2,0.02,0.01617403984069824,NA,NA
46,0.7717791199684143,1,0.01,0.007717791199684143,NA,NA
47,0.788953443368276,3,0.03,0.02366860330104828,NA,NA
48,0.7387518882751465,1,0.01,0.007387518882751465,NA,NA
49,0.7930655121803284,20,0.2,0.1586131024360657,NA,NA
50,0.7703484371304512,8,0.08,0.0616278749704361,NA,NA
51,0.8083015315568269,67,0.67,0.541562026143074,0,0.001228286726238657
52,0.7392655611038208,1,0.01,0.0073926556110382085,NA,NA
53,0.778416375319163,3,0.03,0.02335249125957489,NA,NA
54,0.7940311365657382,9,0.09,0.07146280229091644,NA,NA
55,0.7564353942871094,1,0.01,0.007564353942871094,NA,NA
56,0.7346332669258118,1,0.01,0.007346332669258118,NA,NA
57,0.8376213431358337,5,0.05,0.041881067156791685,NA,NA
58,0.743602842092514,2,0.02,0.01487205684185028,NA,NA
59,0.8345688462257386,20,0.2,0.16691376924514773,NA,NA
60,0.782854883109822,17,0.17,0.13308533012866974,0,0.001228286726238657
61,0.7669042944908142,2,0.02,0.015338085889816284,NA,NA
62,0.7223016619682312,1,0.01,0.007223016619682312,NA,NA
63,0.8150016069412231,15,0.15,0.12225024104118347,NA,NA
64,0.80985207259655,20,0.2,0.16197041451931002,NA,NA
65,0.7258191704750061,1,0.01,0.007258191704750061,NA,NA
66,0.7485780119895935,3,0.03,0.022457340359687803,NA,NA
67,0.7309277057647705,1,0.01,0.0073092770576477055,NA,NA
68,0.7272725105285645,1,0.01,0.007272725105285645,NA,NA
69,0.8087262236154996,13,0.13,0.10513440907001495,NA,NA
70,0.7275341600179672,4,0.04,0.02910136640071869,NA,NA
71,0.7962348647415638,16,0.16,0.1273975783586502,NA,NA
72,0.7781621217727661,4,0.04,0.031126484870910645,NA,NA
73,0.7284559607505798,1,0.01,0.007284559607505799,NA,NA
74,0.750199536482493,3,0.03,0.02250598609447479,NA,NA
75,0.740226686000824,1,0.01,0.00740226686000824,NA,NA
76,0.7811276316642761,1,0.01,0.007811276316642761,NA,NA
77,0.7531670331954956,1,0.01,0.0075316703319549564,NA,NA
78,0.7799138426780701,7,0.07,0.05459396898746491,NA,NA
79,0.8481417549283881,38,0.38,0.3222938668727875,0,4.1780512706420264e-5
80,0.7682603001594543,1,0.01,0.007682603001594544,NA,NA
81,0.8054251202515194,14,0.14,0.11275951683521272,NA,NA
82,0.7434086799621582,1,0.01,0.007434086799621582,NA,NA
83,0.7299284934997559,2,0.02,0.014598569869995118,NA,NA
84,0.8275255680084228,5,0.05,0.04137627840042114,NA,NA
85,0.8058150690048933,32,0.32,0.25786082208156585,0,0.03409298700539048
86,0.8085219951776358,13,0.13,0.10510785937309265,NA,NA
87,0.8144552463834936,22,0.22,0.1791801542043686,0,0.02352140642242696
88,0.7613155692815781,4,0.04,0.030452622771263125,NA,NA
89,0.7403231561183929,2,0.02,0.01480646312236786,NA,NA
90,0.7627637187639872,6,0.06,0.04576582312583923,NA,NA
91,0.7622631788253784,1,0.01,0.007622631788253785,0,0.0010156697264755946
92,0.8670456911880933,382,3.8200000000000003,3.3121145403385164,669.5,0.33436886652780357
93,0.8588314073927262,34,0.34,0.29200267851352696,NA,NA
94,0.7567002177238464,4,0.04,0.030268008708953856,NA,NA
95,0.8361204001638625,9,0.09,0.07525083601474762,0,0.009581507329088898
96,0.7917150259017944,1,0.01,0.007917150259017944,NA,NA
97,0.758303165435791,1,0.01,0.00758303165435791,NA,NA
98,0.7982884421944618,8,0.08,0.06386307537555695,NA,NA
99,0.73329196870327,4,0.04,0.0293316787481308,NA,NA
100,0.824504864997551,183,1.83,1.5088439029455185,485,0.18439079252336865
101,0.7342085242271423,1,0.01,0.007342085242271423,NA,NA
